question,answer,category,difficulty,mode,question_type,choice_a,choice_b,choice_c,choice_d
"Katarina is a botanist studying the production of pears by two types of pear trees. She noticed that Type A trees produced 20 percent more pears than Type B trees did. Based on Katarina's observation, if the Type A trees produced 144 pears, how many pears did the Type B trees produce?",B,Math,medium,sat,multiple_choice,115,120,124,173
"A square field measures 10 meters by 10 meters. Ten students each mark off a randomly selected region of the field; each region is square and has side lengths of 1 meter, and no two regions overlap. The students count the earthworms contained in the soil to a depth of 5 centimeters beneath the ground's surface in each region. The results are shown in the table below.\begin{center}\begin{tabular}{|c|c|c|c|}\hlineRegion & $\begin{array}{c}\text { Number of } \\ \text { earthworms }\end{array}$ & Region & $\begin{array}{c}\text { Number of } \\ \text { earthworms }\end{array}$ \\\hlineA & 107 & $\mathrm{~F}$ & 141 \\\hlineB & 147 & $\mathrm{G}$ & 150 \\\hlineC & 146 & $\mathrm{H}$ & 154 \\\hlineD & 135 & $\mathrm{I}$ & 176 \\\hlineE & 149 & $\mathrm{~J}$ & 166 \\\hline\end{tabular}\end{center}Which of the following is a reasonable approximation of the number of earthworms to a depth of 5 centimeters beneath the ground's surface in the entire field?",C,Math,medium,sat,multiple_choice,$\quad 150$,"$\quad 1,500$","15,000","150,000"
"For a polynomial $p(x)$, the value of $p(3)$ is -2 .Which of the following must be true about $p(x)$ ?",D,Math,medium,sat,multiple_choice,$x-5$ is a factor of $p(x)$.,$x-2$ is a factor of $p(x)$.,$x+2$ is a factor of $p(x)$.,The remainder when $p(x)$ is divided by $x-3$ is -2 .
$$2 z+1=z$$What value of $z$ satisfies the equation above?,B,Math,medium,sat,multiple_choice,-2,-1,$\frac{1}{2}$,1
"A television with a price of $\$ 300$ is to be purchased with an initial payment of $\$ 60$ and weekly payments of $\$ 30$. Which of the following equations can be used to find the number of weekly payments, $w$, required to complete the purchase, assuming there are no taxes or fees?",C,Math,medium,sat,multiple_choice,$300=30 w-60$,$300=30 w$,$300=30 w+60$,$300=60 w-30$
"Shipping Charges\begin{center}\begin{tabular}{|c|c|}\hline$\begin{array}{c}\text { Merchandise weight } \\ \text { (pounds) }\end{array}$ & $\begin{array}{c}\text { Shipping } \\ \text { charge }\end{array}$ \\\hline5 & $\$ 16.94$ \\\hline10 & $\$ 21.89$ \\\hline20 & $\$ 31.79$ \\\hline40 & $\$ 51.59$ \\\hline\end{tabular}\end{center}The table above shows shipping charges for an online retailer that sells sporting goods. There is a linear relationship between the shipping charge and the weight of the merchandise. Which function can be used to determine the total shipping charge $f(x)$, in dollars, for an order with a merchandise weight of $x$ pounds?",B,Math,medium,sat,multiple_choice,$f(x)=0.99 x$,$f(x)=0.99 x+11.99$,$f(x)=3.39 x$,$f(x)=3.39 x+16.94$
"$$\sqrt{9 x^{2}}$$If $x>0$, which of the following is equivalent to the given expression?",A,Math,medium,sat,multiple_choice,$3 x$,$3 x^{2}$,$18 x$,$18 x^{4}$
$$\frac{x^{2}-1}{x-1}=-2$$What are all values of $x$ that satisfy the equation above?,A,Math,medium,sat,multiple_choice,-3,0,1,-3 and -1
"A circle in the $x y$-plane has center $(5,7)$ and radius 2. Which of the following is an equation of the circle?",A,Math,medium,sat,multiple_choice,$(x-5)^{2}+(y-7)^{2}=4$,$(x+5)^{2}+(y+7)^{2}=4$,$(x-5)^{2}+(y-7)^{2}=2$,$(x+5)^{2}+(y+7)^{2}=2$
"In the $x y$-plane, the graph of the function $f(x)=x^{2}+5 x+4$ has two $x$-intercepts. What is the distance between the $x$-intercepts?",C,Math,medium,sat,multiple_choice,1,2,3,4
$$\sqrt{4 x}=x-3$$What are all values of $x$ that satisfy the given equation?I. 1II. 9,B,Math,medium,sat,multiple_choice,I only,II only,I and II,Neither I nor II
"$$\begin{aligned}& -3 x+y=6 \\& a x+2 y=4\end{aligned}$$In the system of equations above, $a$ is a constant. For which of the following values of $a$ does the system have no solution?",A,Math,medium,sat,multiple_choice,-6,-3,3,6
"A helicopter, initially hovering 40 feet above the ground, begins to gain altitude at a rate of 21 feet per second. Which of the following functions represents the helicopter's altitude above the ground $y$, in feet, $t$ seconds after the helicopter begins to gain altitude?",B,Math,medium,sat,multiple_choice,$y=40+21$,$y=40+21 t$,$y=40-21 t$,$y=40 t+21$
"If $20-x=15$, what is the value of $3 x ?$",C,Math,medium,sat,multiple_choice,5,10,15,35
"$$f(x)=\frac{x+3}{2}$$For the function $f$ defined above, what is the value of $f(-1)$ ?",C,Math,medium,sat,multiple_choice,-2,-1,1,2
Which of the following is equivalent to $2 x\left(x^{2}-3 x\right)$ ?,D,Math,medium,sat,multiple_choice,$-4 x^{2}$,$3 x^{3}-x^{2}$,$2 x^{3}-3 x$,$2 x^{3}-6 x^{2}$
A retail company has 50 large stores located in different areas throughout a state. A researcher for the company believes that employee job satisfaction varies greatly from store to store. Which of the following sampling methods is most appropriate to estimate the proportion of all employees of the company who are satisfied with their job?,B,Math,medium,sat,multiple_choice,Selecting one of the 50 stores at random and then surveying each employee at that store,Selecting 10 employees from each store at random and then surveying each employee selected,Surveying the 25 highest-paid employees and the 25 lowest-paid employees,Creating a website on which employees can express their opinions and then using the first 50 responses
$$h(x)=2^{x}$$The function $h$ is defined above. What is $h(5)-h(3) ?$,C,Math,medium,sat,multiple_choice,2,4,24,28
"A researcher surveyed a random sample of students from a large university about how often they see movies. Using the sample data, the researcher estimated that $23 \%$ of the students in the population saw a movie at least once per month. The margin of error for this estimation is $4 \%$. Which of the following is the most appropriate conclusion about all students at the university, based on the given estimate and margin of error?",D,Math,medium,sat,multiple_choice,It is unlikely that less than $23 \%$ of the students see a movie at least once per month.,"At least 23\%, but no more than $25 \%$, of the students see a movie at least once per month.",The researcher is between $19 \%$ and $27 \%$ sure that most students see a movie at least once per month.,It is plausible that the percentage of students who see a movie at least once per month is between $19 \%$ and $27 \%$.
\begin{center}\begin{tabular}{|c|c|c|c|c|c|c|}\hlineList A & 1 & 2 & 3 & 4 & 5 & 6 \\\hlineList B & 2 & 3 & 3 & 4 & 4 & 5 \\\hline\end{tabular}\end{center}The table above shows two lists of numbers. Which of the following is a true statement comparing list $\mathrm{A}$ and list B ?,A,Math,medium,sat,multiple_choice,"The means are the same, and the standard deviations are different.","The means are the same, and the standard deviations are the same.","The means are different, and the standard deviations are different.","The means are different, and the standard deviations are the same."
"A book was on sale for $40 \%$ off its original price. If the sale price of the book was $\$ 18.00$, what was the original price of the book? (Assume there is no sales tax.)",C,Math,medium,sat,multiple_choice,$\$ 7.20$,$\$ 10.80$,$\$ 30.00$,$\$ 45.00$
"A right circular cone has a volume of $24 \pi$ cubic inches. If the height of the cone is 2 inches, what is the radius, in inches, of the base of the cone?",B,Math,medium,sat,multiple_choice,$2 \sqrt{3}$,6,12,36
"In 2015 the populations of City $\mathrm{X}$ and City $\mathrm{Y}$ were equal. From 2010 to 2015, the population of City X increased by $20 \%$ and the population of City $\mathrm{Y}$ decreased by $10 \%$. If the population of City $\mathrm{X}$ was 120,000 in 2010, what was the population of City Y in 2010 ?",C,Math,medium,sat,multiple_choice,"60,000","90,000","160,000","240,000"
"The volume of a sphere is given by the formula $V=\frac{4}{3} \pi r^{3}$, where $r$ is the radius of the sphere. Which of the following gives the radius of the sphere in terms of the volume of the sphere?",D,Math,medium,sat,multiple_choice,$\frac{4 \pi}{3 V}$,$\frac{3 V}{4 \pi}$,$\sqrt[3]{\frac{4 \pi}{3 V}}$,$\sqrt[3]{\frac{3 V}{4 \pi}}$
"Survey Results\begin{center}\begin{tabular}{|l|c|}\hlineAnswer & Percent \\\hlineNever & $31.3 \%$ \\\hlineRarely & $24.3 \%$ \\\hlineOften & $13.5 \%$ \\\hlineAlways & $30.9 \%$ \\\hline\end{tabular}\end{center}The table above shows the results of a survey in which tablet users were asked how often they would watch video advertisements in order to access streaming content for free. Based on the table, which of the following is closest to the probability that a tablet user answered ""Always,"" given that the tablet user did not answer ""Never""?",C,Math,medium,sat,multiple_choice,0.31,0.38,0.45,0.69
"$$y=-(x-3)^{2}+a$$In the equation above, $a$ is a constant. The graph of the equation in the $x y$-plane is a parabola. Which of the following is true about the parabola?",D,Math,medium,sat,multiple_choice,"Its minimum occurs at $(-3, a)$.","Its minimum occurs at $(3, a)$.","Its maximum occurs at $(-3, a)$.","Its maximum occurs at $(3, a)$."
The maximum value of a data set consisting of 25 positive integers is 84 . A new data set consisting of 26 positive integers is created by including 96 in the original data set. Which of the following measures must be 12 greater for the new data set than for the original data set?,C,Math,medium,sat,multiple_choice,The mean,The median,The range,The standard deviation
"$$0.10 x+0.20 y=0.18(x+y)$$Clayton will mix $x$ milliliters of a $10 \%$ by mass saline solution with $y$ milliliters of a $20 \%$ by mass saline solution in order to create an $18 \%$ by mass saline solution. The equation above represents this situation. If Clayton uses 100 milliliters of the $20 \%$ by mass saline solution, how many milliliters of the $10 \%$ by mass saline solution must he use?",B,Math,medium,sat,multiple_choice,5,25,50,100
"The first year Eleanor organized a fund-raising event, she invited 30 people. For each of the next 5 years, she invited double the number of people she had invited the previous year. If $f(n)$ is the number of people invited to the fund-raiser $n$ years after Eleanor began organizing the event, which of the following statements best describes the function $f$ ?",D,Math,medium,sat,multiple_choice,The function $f$ is a decreasing linear function.,The function $f$ is an increasing linear function.,The function $f$ is a decreasing exponential function.,The function $f$ is an increasing exponential function.
"\begin{center}\begin{tabular}{|c|c|c|c|}\hline$x$ & $a$ & $3 a$ & $5 a$ \\\hline$y$ & 0 & $-a$ & $-2 a$ \\\hline\end{tabular}\end{center}Some values of $x$ and their corresponding values of $y$ are shown in the table above, where $a$ is a constant. If there is a linear relationship between $x$ and $y$, which of the following equations represents the relationship?",A,Math,medium,sat,multiple_choice,$x+2 y=a$,$x+2 y=5 a$,$2 x-y=-5 a$,$2 x-y=7 a$
"$$\begin{aligned}& 2.4 x-1.5 y=0.3 \\& 1.6 x+0.5 y=-1.3\end{aligned}$$The system of equations above is graphed in the $x y$-plane. What is the $x$-coordinate of the intersection point $(x, y)$ of the system?",A,Math,medium,sat,multiple_choice,-0.5,-0.25,0.8,1.75
"Keith modeled the growth over several hundred years of a tree population by estimating the number of the trees' pollen grains per square centimeter that were deposited each year within layers of a lake's sediment. He estimated there were 310 pollen grains per square centimeter the first year the grains were deposited, with a $1 \%$ annual increase in the number of grains per square centimeter thereafter. Which of the following functions models $P(t)$, the number of pollen grains per square centimeter $t$ years after the first year the grains were deposited?",D,Math,medium,sat,multiple_choice,$P(t)=310^{t}$,$P(t)=310^{1.01 t}$,$P(t)=310(0.99)^{t}$,$P(t)=310(1.01)^{t}$
"$$\frac{2}{3}(9 x-6)-4=9 x-6$$Based on the equation above, what is the value of $3 x-2$ ?",A,Math,medium,sat,multiple_choice,-4,$-\frac{4}{5}$,$-\frac{2}{3}$,4
"$$H=1.88 L+32.01$$The formula above can be used to approximate the height $H$, in inches, of an adult male based on the length $L$, in inches, of his femur. What is the meaning of 1.88 in this context?",D,Math,medium,sat,multiple_choice,"The approximate femur length, in inches, for a man with a height of 32.01 inches","The approximate increase in a man's femur length, in inches, for each increase of 32.01 inches in his height","The approximate increase in a man's femur length, in inches, for each one-inch increase in his height","The approximate increase in a man's height, in inches, for each one-inch increase in his femur length"
"A painter will paint $n$ walls with the same size and shape in a building using a specific brand of paint. The painter's fee can be calculated by the expression $n K \ell h$, where $n$ is the number of walls, $K$ is a constant with units of dollars per square foot, $\ell$ is the length of each wall in feet, and $h$ is the height of each wall in feet. If the customer asks the painter to use a more expensive brand of paint, which of the factors in the expression would change?",C,Math,medium,sat,multiple_choice,$h$,$\ell$,$K$,$n$
"If $3 r=18$, what is the value of $6 r+3$ ?",D,Math,medium,sat,multiple_choice,6,27,36,39
"Which of the following is equal to $a^{\frac{2}{3}}$, for all values of $a$ ?",D,Math,medium,sat,multiple_choice,$\sqrt{a^{\frac{1}{3}}}$,$\sqrt{a^{3}}$,$\sqrt[3]{a^{\frac{1}{2}}}$,$\sqrt[3]{a^{2}}$
"The number of states that joined the United States between 1776 and 1849 is twice the number of states that joined between 1850 and 1900. If 30 states joined the United States between 1776 and 1849 and $x$ states joined between 1850 and 1900 , which of the following equations is true?",B,Math,medium,sat,multiple_choice,$30 x=2$,$2 x=30$,$\frac{x}{2}=30$,$x+30=2$
"If $\frac{5}{x}=\frac{15}{x+20}$, what is the value of $\frac{x}{5} ?$",C,Math,medium,sat,multiple_choice,10,5,2,$\frac{1}{2}$
"$$\begin{aligned}& 2 x-3 y=-14 \\& 3 x-2 y=-6\end{aligned}$$If $(x, y)$ is a solution to the system of equations above, what is the value of $x-y$ ?",C,Math,medium,sat,multiple_choice,-20,$\quad-8$,-4,8
\begin{center}\begin{tabular}{|c|c|}\hline$x$ & $f(x)$ \\\hline0 & 3 \\\hline2 & 1 \\\hline4 & 0 \\\hline5 & -2 \\\hline\end{tabular}\end{center}The function $f$ is defined by a polynomial. Some values of $x$ and $f(x)$ are shown in the table above. Which of the following must be a factor of $f(x)$ ?,C,Math,medium,sat,multiple_choice,$x-2$,$x-3$,$x-4$,$x-5$
"The line $y=k x+4$, where $k$ is a constant, is graphed in the $x y$-plane. If the line contains the point $(c, d)$, where $c \neq 0$ and $d \neq 0$, what is the slope of the line in terms of $c$ and $d$ ?",A,Math,medium,sat,multiple_choice,$\frac{d-4}{c}$,$\frac{c-4}{d}$,$\frac{4-d}{c}$,$\frac{4-c}{d}$
"$$\begin{aligned}& k x-3 y=4 \\& 4 x-5 y=7\end{aligned}$$In the system of equations above, $k$ is a constant and $x$ and $y$ are variables. For what value of $k$ will the system of equations have no solution?",A,Math,medium,sat,multiple_choice,$\frac{12}{5}$,$\frac{16}{7}$,$-\frac{16}{7}$,$-\frac{12}{5}$
"In the $x y$-plane, the parabola with equation $y=(x-11)^{2}$ intersects the line with equation $y=25$ at two points, $A$ and $B$. What is the length of $\overline{A B}$ ?",A,Math,medium,sat,multiple_choice,10,12,14,16
"$$y=a(x-2)(x+4)$$In the quadratic equation above, $a$ is a nonzero constant. The graph of the equation in the $x y$-plane is a parabola with vertex $(c, d)$. Which of the following is equal to $d$ ?",A,Math,medium,sat,multiple_choice,$-9 a$,$-8 a$,$-5 a$,$-2 a$
"The equation $\frac{24 x^{2}+25 x-47}{a x-2}=-8 x-3-\frac{53}{a x-2}$ is true for all values of $x \neq \frac{2}{a}$, where $a$ is a constant.What is the value of $a$ ?",B,Math,medium,sat,multiple_choice,-16,-3,3,16
What are the solutions to $3 x^{2}+12 x+6=0 ?$,A,Math,medium,sat,multiple_choice,$x=-2 \pm \sqrt{2}$,$x=-2 \pm \frac{\sqrt{30}}{3}$,$x=-6 \pm \sqrt{2}$,$x=-6 \pm 6 \sqrt{2}$
"$$C=\frac{5}{9}(F-32)$$The equation above shows how a temperature $F$, measured in degrees Fahrenheit, relates to a temperature $C$, measured in degrees Celsius. Based on the equation, which of the following must be true?I. A temperature increase of 1 degree Fahrenheit is equivalent to a temperature increase of $\frac{5}{9}$ degree Celsius.II. A temperature increase of 1 degree Celsius is equivalent to a temperature increase of 1.8 degrees Fahrenheit.III. A temperature increase of $\frac{5}{9}$ degree Fahrenheit is equivalent to a temperature increase of 1 degree Celsius.",D,Math,medium,sat,multiple_choice,I only,II only,III only,I and II only
"\begin{center}\begin{tabular}{|l||c|c||c|}\cline { 2 - 4 }\multicolumn{1}{c||}{} & \multicolumn{2}{c||}{Age} & \multirow{2}{c|}{Total} \\\hlineGender & Under 40 & 40 or older \\\hline\hlineMale & 12 & 2 & 14 \\\hlineFemale & 8 & 3 & 11 \\\hline\hlineTotal & 20 & 5 & 25 \\\hline\end{tabular}\end{center}The table above shows the distribution of age and gender for 25 people who entered a contest. If the contest winner will be selected at random, what is the probability that the winner will be either a female under age 40 or a male age 40 or older?",B,Math,medium,sat,multiple_choice,$\frac{4}{25}$,$\frac{10}{25}$,$\frac{11}{25}$,$\frac{16}{25}$
\begin{center}\begin{tabular}{|c||c|c|c|c|}\hline$n$ & 1 & 2 & 3 & 4 \\\hline$f(n)$ & -2 & 1 & 4 & 7 \\\hline\end{tabular}\end{center}The table above shows some values of the linear function $f$. Which of the following defines $f$ ?,C,Math,medium,sat,multiple_choice,$f(n)=n-3$,$f(n)=2 n-4$,$f(n)=3 n-5$,$f(n)=4 n-6$
"At Lincoln High School, approximately 7 percent of enrolled juniors and 5 percent of enrolled seniors were inducted into the National Honor Society last year. If there were 562 juniors and 602 seniors enrolled at Lincoln High School last year, which of the following is closest to the total number of juniors and seniors at Lincoln High School last year who were inducted into the National Honor Society?",B,Math,medium,sat,multiple_choice,140,69,39,30
$$\begin{aligned}& 3 x^{2}-5 x+2 \\& 5 x^{2}-2 x-6\end{aligned}$$Which of the following is the sum of the two polynomials shown above?,A,Math,medium,sat,multiple_choice,$8 x^{2}-7 x-4$,$8 x^{2}+7 x-4$,$8 x^{4}-7 x^{2}-4$,$8 x^{4}+7 x^{2}-4$
"If $\frac{3}{5} w=\frac{4}{3}$, what is the value of $w ?$",D,Math,medium,sat,multiple_choice,$\frac{9}{20}$,$\frac{4}{5}$,$\frac{5}{4}$,$\frac{20}{9}$
"The average number of students per classroom at Central High School from 2000 to 2010 can be modeled by the equation $y=0.56 x+27.2$, where $x$ represents the number of years since 2000 , and $y$ represents the average number of students per classroom. Which of the following best describes the meaning of the number 0.56 in the equation?",C,Math,medium,sat,multiple_choice,The total number of students at the school in 2000,The average number of students per classroom in 2000,The estimated increase in the average number of students per classroom each year,The estimated difference between the average number of students per classroom in 2010 and in 2000
"Nate walks 25 meters in 13.7 seconds. If he walks at this same rate, which of the following is closest to the distance he will walk in 4 minutes?",B,Math,medium,sat,multiple_choice,150 meters,450 meters,700 meters,"1,400 meters"
"What is the weight, in newtons, of an object on Mercury with a mass of 90 kilograms?",D,Math,medium,sat,multiple_choice,25,86,101,324
An object on Earth has a weight of 150 newtons. On which planet would the same object have an approximate weight of 170 newtons?,B,Math,medium,sat,multiple_choice,Venus,Saturn,Uranus,Neptune
"$$h=-16 t^{2}+v t+k$$The equation above gives the height $h$, in feet, of a ball $t$ seconds after it is thrown straight up with an initial speed of $v$ feet per second from a height of $k$ feet. Which of the following gives $v$ in terms of $h, t$, and $k$ ?",D,Math,medium,sat,multiple_choice,$v=h+k-16 t$,$v=\frac{h-k+16}{t}$,$v=\frac{h+k}{t}-16 t$,$v=\frac{h-k}{t}+16 t$
