question,answer,category,difficulty,mode,question_type,choice_a,choice_b,choice_c,choice_d
"The table below shows the number of state parks in a certain state that contain camping facilities and bicycle paths. Has bicycle paths Does not have bicycle paths Has camping facilities 20 5 Does not have camping facilities 8 4 If one of these state parks is selected at random, what is the probability that it has camping facilities but does not have bicycle paths? a",A,Math,medium,sat,text,,,,
"J = = = jo) ia Momentum (newton-seconds) me Nw BRU A NI oC 0 we ™~ Q =. w&. 3 4 5 67 8 9 Time (seconds) The graph shows the momentum y, in newton-seconds, of an object x seconds after the object started moving, for0 < x < 8. What is the average rate of change, in newton-seconds per second, in the momentum of the object from z = 2 to x = 6?","0.5, 1/2",Math,medium,sat,text,,,,
"The results of two independent surveys are shown in the table below. Men's Height Group | Sample size | Mean (centimeters) | Standard deviation (centimeters) A 2,500 186 12.5 B 2,500 186 19.1 Which statement is true based on the table?",Cc,Math,medium,sat,text,The Group A data set was identical to the Group B data set.,Group B contained the tallest participant.,The heights of the men in Group B had a larger spread than the heights of the men in Group A.,The median height of Group B is larger than the median height of Group A.
"The positive number a is 230% of the number b, and a is 60% of the number c. If cis p% of b, which of the following is closest to the value of p?",D,Math,hard,sat,multiple_choice,138,217,283,383
The bar graph shows the distribution of the number of walnuts per container for 20 containers at a grocery store. Frequency OorFNW HN WANA CO 75 76 77 78 Number of walnuts per container How many of these containers of walnuts contain exactly 78 walnuts? A.2 B.7 C. 20 D. 78,B,Math,medium,sat,text,,,,
"15, 14, 18, 17, x The mean and the median of the five numbers above are equal. Which of the following is NOT a possible value of x ?",A,Math,medium,sat,text,,,,
What percentage of 300 is 75?,A,Math,easy,sat,multiple_choice,25%,50%,75%,225%
"Data set A consists of 10 positive integers less than 60. The list shown gives 9 of the integers from data set A. 43, 45, 44, 43, 38, 39, 40, 46, 40 The mean of these 9 integers is 42. If the mean of data set A is an integer that is greater than 42, what is the value of the largest integer from data set A?",52,Math,hard,sat,text,,,,
"x | y 1 | 4 3 | 12 5 | 20 40 | k In the table above, the ratio of y to x for each ordered pair is constant. What is the value of k ?",D,Math,easy,sat,multiple_choice,28,36,80,160
"The cost of a certain shirt is $20 before a 5% sales tax is added. What is the total cost, including sales tax, to purchase the shirt?",Cc,Math,easy,sat,text,$20.05,$20.50,$21.00,$25.00
"For a school fund-raiser, 10 students sold a total of 90 boxes of cookies. Which of the following can be calculated from this information?",A,Math,easy,sat,multiple_choice,The average number of boxes sold per student,The median number of boxes sold per student,The greatest number of boxes sold by one student,The least number of boxes sold by one student
"J 50 ° a 30 20 a LW O48 12 16°20 10 The scatterplot shows the relationship between two variables, x and y, for data set E. A line of best fit is shown. Data set F is created by multiplying the y-coordinate of each data point from data set E by 3.9. Which of the following could be an equation of a line of best fit for data set F? A.y = 46.8 + 5.92 B.y = 46.84 1.52 C.y=124+5.92 D.y=12+4 1.52",A,Math,medium,sat,multiple_choice,y = 46.8 + 5.92,y = 46.84 1.52,y=124+5.92,y=12+4 1.52
Value Data set A frequency | Data set B frequency 30 2 9 34 4 7 38 5 5 42 7 4 46 9 2 Data set A and data set B each consist of 27 values. The table shows the frequencies of the values for each data set. Which of the following statements best compares the means of the two data sets?,A,Math,hard,sat,multiple_choice,The mean of data set A is greater than the mean of data set B.,The mean of data set A is less than the mean of data set B.,The mean of data set A is equal to the mean of data set B.,There is not enough information to compare the means of the data sets.
"Marta Coll and colleagues’ 2010 Mediterranean Sea biodiversity census reported approximately 17,000 species, nearly double the number reported in Carlo Bianchi and Carla Morri’s 2000 census—a difference only partly attributable to the description of new invertebrate species in the interim. Another factor is that the morphological variability of microorganisms is poorly understood compared to that of vertebrates, invertebrates, plants, and algae, creating uncertainty about how to evaluate microorganisms as species. Researchers’ decisions on such matters therefore can be highly consequential. Indeed, the two censuses reported similar counts of vertebrate, plant, and algal species, suggesting that ______ Which choice most logically completes the text?",B,Reading and Writing,hard,sat,multiple_choice,Coll and colleagues reported a much higher number of species than Bianchi and Morri did largely due to the inclusion of invertebrate species that had not been described at the time of Bianchi and Morri’s census.,some differences observed in microorganisms may have been treated as variations within species by Bianchi and Morri but treated as indicative of distinct species by Coll and colleagues.,Bianchi and Morri may have been less sensitive to the degree of morphological variation displayed within a typical species of microorganism than Coll and colleagues were.,the absence of clarity regarding how to differentiate among species of microorganisms may have resulted in Coll and colleagues underestimating the number of microorganism species.
"A common assumption among art historians is that the invention of photography in the mid-nineteenth century displaced the painted portrait in the public consciousness. The diminishing popularity of the portrait miniature, which coincided with the rise of photography, seems to support this claim. However, photography’s impact on the portrait miniature may be overstated. Although records from art exhibitions in the Netherlands from 1820 to 1892 show a decrease in the number of both full-sized and miniature portraits submitted, this trend was established before the invention of photography. Based on the text, what can be concluded about the diminishing popularity of the portrait miniature in the nineteenth century?",A,Reading and Writing,medium,sat,multiple_choice,Factors other than the rise of photography may be more directly responsible for the portrait miniature’s decline.,"Although portrait miniatures became less common than photographs, they were widely regarded as having more artistic merit.",The popularity of the portrait miniature likely persisted for longer than art historians have assumed.,"As demand for portrait miniatures decreased, portrait artists likely shifted their creative focus to photography."
"Believing that living in an impractical space can heighten awareness and even improve health, conceptual artists Madeline Gins and Shusaku Arakawa designed an apartment building in Japan to be more fanciful than functional. A kitchen counter is chesthigh on one side and knee-high on the other; a ceiling has a door to nowhere. The effect is disorienting but invigorating: after four years there, filmmaker Nobu Yamaoka reported significant health benefits. Which choice best states the main idea of the text?",D,Reading and Writing,medium,sat,multiple_choice,"Although inhabiting a home surrounded by fanciful features such as those designed by Gins and Arakawa can be rejuvenating, it is unsustainable.",Designing disorienting spaces like those in the Gins and Arakawa building is the most effective way to create a physically stimulating environment.,"As a filmmaker, Yamaoka has long supported the designs of conceptual artists such as Gins and Arakawa.","Although impractical, the design of the apartment building by Gins and Arakawa may improve the well-being of the building’s residents."
"In her 2021 article “Throwaway History: Towards a Historiography of Ephemera,” scholar Anne Garner discusses John Johnson (1882–1956), a devoted collector of items intended to be discarded, including bus tickets and campaign pamphlets. Johnson recognized that scholarly institutions considered his expansive collection of ephemera to be worthless—indeed, it wasn’t until 1968, after Johnson’s death, that Oxford University’s Bodleian Library acquired the collection, having grasped the items’ potential value to historians and other researchers. Hence, the example of Johnson serves to ______ Which choice most logically completes the text?",D,Reading and Writing,medium,sat,multiple_choice,demonstrate the difficulties faced by contemporary historians in conducting research at the Bodleian Library without access to ephemera.,represent the challenge of incorporating examples of ephemera into the collections of libraries and other scholarly institutions.,lend support to arguments by historians and other researchers who continue to assert that ephemera holds no value for scholars.,illustrate both the relatively low scholarly regard in which ephemera was once held and the later recognition of ephemera’s possible utility.
"One recognized social norm of gift giving is that the time spent obtaining a gift will be viewed as a reflection of the gift’s thoughtfulness. Marketing experts Farnoush Reshadi, Julian Givi, and Gopal Das addressed this view in their studies of norms specifically surrounding the giving of gift cards, noting that while recipients tend to view digital gift cards (which can be purchased online from anywhere and often can be redeemed online as well) as superior to physical gift cards (which sometimes must be purchased in person and may only be redeemable in person) in terms of usage, 94.8 percent of participants surveyed indicated that it is more socially acceptable to give a physical gift card to a recipient. This finding suggests that ______ Which choice most logically completes the text?",D,Reading and Writing,hard,sat,multiple_choice,gift givers likely overestimate the amount of effort required to use digital gift cards and thus mistakenly assume gift recipients will view them as less desirable than physical gift cards.,physical gift cards are likely preferred by gift recipients because the tangible nature of those cards offers a greater psychological sense of ownership than digital gift cards do.,physical gift cards are likely less desirable to gift recipients than digital gift cards are because of the perception that physical gift cards require unnecessary effort to obtain.,gift givers likely perceive digital gift cards as requiring relatively low effort to obtain and thus wrongly assume gift recipients will appreciate them less than they do physical gift cards.
"Number of municipalities Municipalities’ Responses to Inquiries about Potential Incentives for Firm 1,300 1,200 1,100 1,000 900 800 700 600 500 400 300 200 100 0 e iry ive ns t u o n p ce inq es n r o i dt no ed e r d e f n of po s re announcement before election announcement after election In the United States, firms often seek incentives from municipal governments to expand to those municipalities. A team of political scientists hypothesized that municipalities are much more likely to respond to firms and offer incentives if expansions can be announced in time to benefit local elected officials than if they can’t. The team contacted officials in thousands of municipalities, inquiring about incentives for a firm looking to expand and indicating that the firm would announce its expansion on a date either just before or just after the next election. Which choice best describes data from the graph that weaken the team’s hypothesis?",B,Reading and Writing,hard,sat,multiple_choice,A large majority of the municipalities that received an inquiry mentioning plans for an announcement before the next election didn’t respond to the inquiry.,The proportion of municipalities that responded to the inquiry or offered incentives didn’t substantially differ across the announcement timing conditions.,Only around half the municipalities that responded to inquiries mentioning plans for an announcement before the next election offered incentives.,"Of the municipalities that received an inquiry mentioning plans for an announcement date after the next election, more than 1,200 didn’t respond and only around 100 offered incentives."
"The most recent iteration of the immersive theater experience Sleep No More, which premiered in New York City in 2011, transforms its performance space—a five-story warehouse—into a 1930s-era hotel. Audience members, who wander through the labyrinthine venue at their own pace and follow the actors as they play out simultaneous, interweaving narrative loops, confront the impossibility of experiencing the production in its entirety. The play’s refusal of narrative coherence thus hinges on the sense of spatial fragmentation that the venue’s immense and intricate layout generates. What does the text most strongly suggest about Sleep No More’s use of its performance space?",C,Reading and Writing,hard,sat,multiple_choice,The choice of a New York City venue likely enabled the play’s creators to experiment with the use of theatrical space in a way that venues from earlier productions could not.,Audience members likely find the experience of the play disappointing because they generally cannot make their way through the entire venue.,The production’s dependence on a particular performance environment would likely make it difficult to reproduce exactly in a different theatrical space.,Audience members who navigate the space according to a recommended itinerary will likely have a better grasp of the play’s narrative than audience members who depart from that itinerary.
"During the World War II era, some Mexican American women adopted a striking new look called pachuca style. They wore altered men’s jackets or zoot suits (wide-legged, long-coated suits) and dramatic makeup, and they combed their hair into high, rounded shapes. Some people criticized pachuca style, saying it was dangerous and women should dress traditionally. But historians see things differently. They see pachuca style as a form of rebellion against the era’s rigid social expectations for women. They say that it showed a desire for self-expression and freedom on the part of women who adopted the style. According to the text, how do historians view pachuca style?",B,Reading and Writing,medium,sat,multiple_choice,They think that pachuca style was such a popular trend that it continues to influence fashion in the United States to the present day.,They think that pachuca style was a way for some Mexican American women to express themselves and resist strict social expectations.,They think that pachuca style was celebrated because it enabled some Mexican American women to show their support for the United States during World War II.,They think that pachuca style was similar to other fashion trends that different groups of women adopted in the same period.
"Utah is home to Pando, a colony of about 47,000 quaking aspen trees that all share a single root system. Pando is one of the largest single organisms by mass on Earth, but ecologists are worried that its growth is declining in part because of grazing by animals. The ecologists say that strong fences could prevent deer from eating young trees and help Pando start thriving again. According to the text, why are ecologists worried about Pando?",A,Reading and Writing,medium,sat,multiple_choice,It isn’t growing at the same rate it used to.,It isn’t producing young trees anymore.,It can’t grow into new areas because it is blocked by fences.,Its root system can’t support many more new trees.
"Although many transposons, DNA sequences that move within an organism’s genome through shuffling or duplication, have become corrupted and inactive over time, those from the long interspersed nuclear elements (LINE) family appear to remain active in the genomes of some species. In humans, they are functionally important within the hippocampus, a brain structure that supports complex cognitive processes. When the results of molecular analysis of two species of octopus—an animal known for its intelligence—were announced in 2022, the confirmation of a LINE transposon in Octopus vulgaris and Octopus bimaculoides genomes prompted researchers to hypothesize that that transposon family is tied to a species’ capacity for advanced cognition. Which finding, if true, would most directly support the researchers’ hypothesis?",A,Reading and Writing,medium,sat,multiple_choice,The LINE transposon in O. vulgaris and O. bimaculoides genomes is active in an octopus brain structure that functions similarly to the human hippocampus.,The human genome contains multiple transposons from the LINE family that are all primarily active in the hippocampus.,"A consistent number of copies of LINE transposons is present across the genomes of most octopus species, with few known corruptions.","O. vulgaris and O. bimaculoides have smaller brains than humans do relative to body size, but their genomes contain sequences from a wider variety of transposon families."
"To understand how temperature change affects microorganism-mediated cycling of soil nutrients in alpine ecosystems, Eva Kaštovská et al. collected plant-soil cores in the Tatra Mountains at elevations around 2,100 meters and transplanted them to elevations of 1,700–1,800 meters, where the mean air temperature was warmer by 2°C. Microorganism-mediated nutrient cycling was accelerated in the transplanted cores; crucially, microorganism community composition was unchanged, allowing Kaštovská et al. to attribute the acceleration to temperature-induced increases in microorganism activity. It can most reasonably be inferred from the text that the finding about the microorganism community composition was important for which reason?",C,Reading and Writing,hard,sat,multiple_choice,It provided preliminary evidence that microorganism-mediated nutrient cycling was accelerated in the transplanted cores.,It suggested that temperature-induced changes in microorganism activity may be occurring at increasingly high elevations.,It ruled out a potential alternative explanation for the acceleration in microorganism-mediated nutrient cycling.,It clarified that microorganism activity levels in the plant-soil cores varied depending on which microorganisms comprised the community.
"Jean-Bernard Caron and colleagues recently discovered a cache of jellyfish fossils in the Burgess Shale, a site in the Canadian Rockies that is rich in fossils from the Cambrian period (over 500 million years ago). Caron and colleagues claim that these are the oldest jellyfish fossils ever discovered. In the past twenty years, two sites in China and the United States have yielded fossils of a similar age that some experts believe are most likely jellyfish due to their shapes and the appearance of projecting tentacles. But Caron and colleagues argue that the apparent tentacles are in fact the comb rows of ctenophores, gelatinous animals that are only distantly related to jellyfish. Which statement, if true, would most directly weaken the claim by Caron and colleagues about the fossils found in China and the United States?",B,Reading and Writing,hard,sat,multiple_choice,Sites in the Canadian Rockies from later periods than the Cambrian period have yielded fossils that have been conclusively identified as ctenophore fossils.,"The fossils found in China and the United States are so poorly preserved that though they cannot be conclusively identified as jellyfish, they cannot be conclusively identified as ctenophores either.","While ctenophore fossils have been discovered in China and the United States, they have never been discovered in the Burgess Shale.",The fossils discovered by Caron and colleagues in the Burgess Shale were better preserved than the fossils discovered by other researchers in China and the United States.
"The following text is from Jane Austen’s 1811 novel Sense and Sensibility. Elinor lives with her younger sisters and her mother, Mrs. Dashwood. Elinor, this eldest daughter, whose advice was so effectual, possessed a strength of understanding, and coolness of judgment, which qualified her, though only nineteen, to be the counsellor of her mother, and enabled her frequently to counteract, to the advantage of them all, that eagerness of mind in Mrs. Dashwood which must generally have led to imprudence. She had an excellent heart;—her disposition was affectionate, and her feelings were strong; but she knew how to govern them: it was a knowledge which her mother had yet to learn; and which one of her sisters had resolved never to be taught. According to the text, what is true about Elinor?",D,Reading and Writing,easy,sat,multiple_choice,Elinor often argues with her mother but fails to change her mind.,Elinor can be overly sensitive with regard to family matters.,Elinor thinks her mother is a bad role model.,Elinor is remarkably mature for her age.
"Sample of Food Items from Gemini Mission Menus Food item Day Meal Sugar cookie cubes 1 B Chicken and vegetables 2 B Shrimp cocktail 4 C Hot cocoa 3 A To make sure they got the nutrition they needed while in space, the astronauts of NASA’s Gemini missions were given menus for three meals a day (meals A, B, and C) on a four-day rotating schedule. Looking at the sample of food items from these menus, a student notes that on day 1, the menu included ______ Which choice most effectively uses data from the table to complete the statement?",C,Reading and Writing,easy,sat,multiple_choice,shrimp cocktail for meal B.,hot cocoa for meal C.,sugar cookie cubes for meal B.,chicken and vegetables for meal A.
"Many literary theorists distinguish between fabula, a narrative’s content, and syuzhet, a narrative’s arrangement and presentation of events. In the film The Godfather Part II, the fabula is the story of the Corleone family, and the syuzhet is the presentation of the story as it alternates between two timelines in 1901 and 1958. But literary theorist Mikhail Bakhtin maintained that fabula and syuzhet are insufficient to completely describe a narrative—he held that systematic categorizations of artistic phenomena discount the subtle way in which meaning is created by interactions between the artist, the work, and the audience. Which choice best states the main idea of the text?",A,Reading and Writing,hard,sat,multiple_choice,Literary theorist Mikhail Bakhtin argued that there are important characteristics of narratives that are not fully encompassed by two concepts that other theorists have used to analyze narratives.,Literary theorist Mikhail Bakhtin claimed that meaning is not inherent in a narrative but is created when an audience encounters a narrative so that narratives are interpreted differently by different people.,"The storytelling methods used in The Godfather Part II may seem unusually complicated, but they can be easily understood when two concepts from literary theory are utilized.",Narratives that are told out of chronological order are more difficult for audiences to understand than are narratives presented chronologically.
